epoch,step,test_acc,test_f1,test_precision,test_recall,train_loss,val_acc
0,98,,,,,,0.4720812141895294
0,98,,,,,0.6873534917831421,
1,197,,,,,,0.6548223495483398
1,197,,,,,0.6607481241226196,
2,198,,,,,,0.6548223495483398
2,198,0.6479591727256775,0.6387434601783752,0.7820512652397156,0.5398229956626892,,
