epoch,step,train_loss,val_acc
0,78,,0.9463000297546387
0,78,0.3650320768356323,
1,157,,0.965149998664856
1,157,0.11879809200763702,
2,236,,0.96670001745224
2,236,0.07861912250518799,
3,315,,0.9739000201225281
3,315,0.06252402067184448,
4,394,,0.9758999943733215
4,394,0.05174071714282036,
5,395,,0.9758999943733215
