epoch,step,train_loss,val_acc
0,312,,0.9536499977111816
0,312,0.276840478181839,
1,625,,0.9640499949455261
1,625,0.1310781091451645,
2,938,,0.9635999798774719
2,938,0.10507867485284805,
3,1251,,0.972100019454956
3,1251,0.09417782723903656,
4,1564,,0.9676499962806702
4,1564,0.08793563395738602,
5,1565,,0.9676499962806702
