epoch,step,train_loss,val_acc
0,107,,0.9639999866485596
0,107,0.27841612696647644,
1,215,,0.9735999703407288
1,215,0.09405101090669632,
2,323,,0.9739999771118164
2,323,0.06699396669864655,
3,431,,0.9771999716758728
3,431,0.056469544768333435,
4,539,,0.9805999994277954
4,539,0.049103379249572754,
